V161198,V161178,V161126,V161310x,V161196x,V160101,V161087
6,2,4,White,4,0.2836,60
7,4,NA,White,2,2.7553,70
2,4,4,White,2,0.8642,70
4,4,3,White,7,1.9116,0
6,4,3,Black,7,0.5801,15
2,1,6,White,2,0.666,85
NA,4,NA,White,2,1.0692,85
5,3,6,White,2,0.7814,100
7,NA,6,White,1,0.6708,60
7,1,NA,White,4,0.5705,0
2,5,4,NA,7,1.1304,0
6,6,4,NA,7,1.4049,30
NA,4,3,White,7,0.4085,0
1,7,7,Black,1,0.2717,0
6,3,1,White,1,0.3453,70
4,5,3,White,7,0.3886,15
1,NA,NA,White,7,2.3988,0
3,4,6,White,2,0.1866,95
NA,5,4,NA,1,0.8386,85
